Date_UTC;Time_UTC;Event;Purposes_Of_Call;Time_Since_Previous_Report;Distance;Latitude_North_South;Latitude_Degree;Latitude_Minutes;Longitude_East_West;Longitude_Degree;Longitude_Minutes;Voyage_From;Voyage_To;Voyage_Number;Offhire_Reasons;Cargo_Mt;Time_Elapsed_Sailing;Time_Elapsed_Maneuvering;Time_Elapsed_Anchoring;Time_Elapsed_Drifting;ME_Consumption;ME_Consumption_BDN_2;AE_Consumption;Boiler_Consumption;AE_Consumption_BDN_2;Boiler_Consumption_BDN_2;AE_Consumption_BDN_3;BDN_ROB;BDN_2_ROB;BDN_3_ROB;BDN_4_ROB;Discharge_Pump_Work;Discharge_Pump_SFOC;ROB_Fuel_Total;Duration_Shore_Side_Electricity_Reception;Source_System;Last_Updated
2025-07-27;23:42;Begin of sea passage;;0,62;3;;;;;;;CLBAR;PECLL;202510-2-CLBAR-PECLL;;0;0;0,62;0;0;0,2;;0,2;;;;;12,8;385,7;;;0;215;398,5;;OVDAPI;2025-10-30 02:45
2025-07-28;16:00;Noon (Position) - Sea passage;;16,3;223;S;24;11,93;W;71;51,83;CLBAR;PECLL;202510-2-CLBAR-PECLL;;0;16,3;0;0;0;9,7;;0,9;;;;;11,9;376;;;0;215;387,9;;OVDAPI;2025-10-30 02:45
2025-07-29;17:00;Noon (Position) - Sea passage;;25;347;S;18;1,16;W;74;57,36;CLBAR;PECLL;202510-2-CLBAR-PECLL;;0;25;0;0;0;15;;1,2;;;;;10,7;361;;;0;215;371,7;;OVDAPI;2025-10-30 02:45
2025-07-30;17:00;Noon (Position) - Sea passage;;24;326;S;12;38,81;W;77;11,98;CLBAR;PECLL;202510-2-CLBAR-PECLL;;0;24;0;0;0;14,5;;1,2;;;;;9,5;346,5;;;0;215;356;;OVDAPI;2025-10-30 02:45
2025-07-30;19:42;End of sea passage;;2,7;38;S;12;5,52;W;77;18,36;CLBAR;PECLL;202510-2-CLBAR-PECLL;;0;2,7;0;0;0;1,6;;0,2;;;;;9,3;344,9;;;0;215;354,2;;OVDAPI;2025-10-30 02:45
2025-07-31;17:00;Noon (Position) - Sea passage;;21,3;2;S;12;0,78;W;77;13,08;CLBAR;PECLL;202510-2-CLBAR-PECLL;;0;0;1,3;20;0;0,2;;0,9;;;0,5;;8,2;344,4;100;;0;215;452,6;;OVDAPI;2025-10-30 02:45
2025-07-31;21:18;Arrival;;4,3;3;S;12;2,59;W;77;8,73;CLBAR;PECLL;202510-2-CLBAR-PECLL;;0;0;2;2,3;0;0,2;;0,4;;;0,1;;7,6;344,3;100;;0;215;451,9;;OVDAPI;2025-10-30 02:45
2025-08-01;17:00;Noon (Position) - Port;;19,7;0;S;12;2,59;W;77;8,73;PECLL;PECLL;202510-2-CLBAR-PECLL;;14511,36;0;0;0;0;;;1,3;;;0,6;;6,3;343,7;100;;0;215;450;;OVDAPI;2025-10-30 02:45
2025-08-02;03:12;Departure;;10,2;0;S;12;2,59;W;77;8,72;PECLL;PECLL;202510-2-CLBAR-PECLL;;14511,36;0;0;0;0;;;0,6;;;0,3;;5,7;343,4;100;;0;215;449,1;;OVDAPI;2025-10-30 02:45
2025-08-02;03:48;Begin of sea passage;;0,6;3;S;12;2,08;W;77;13,41;PECLL;CLMJS;202511-1-PECLL-CLMJS;;14511,36;0;0,6;0;0;0,2;;0,1;;;;;5,4;343,4;100;;0;215;448,8;;OVDAPI;2025-10-30 02:45
